gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,avg_charge_per_month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,29.85,0,14.925,0,0,0,1,0
1,0,0,0,34,1,0,1,1,0,1,0,0,0,0,56.95,0,53.98571428571429,1,0,0,0,1
1,0,0,0,2,1,0,1,1,1,0,0,0,0,1,53.85,1,36.050000000000004,0,0,0,0,1
1,0,0,0,45,0,0,1,1,0,1,1,0,0,0,42.3,0,40.016304347826086,1,0,0,0,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,70.7,1,50.550000000000004,0,0,0,1,0
0,0,0,0,8,1,1,1,0,0,1,0,1,1,1,99.65,1,91.16666666666667,0,0,0,1,0
1,0,0,1,22,1,1,1,0,1,0,0,1,0,1,89.1,0,84.75652173913043,0,0,1,0,0
0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,29.75,0,27.44545454545454,0,0,0,0,1
0,0,1,0,28,1,1,1,0,0,1,1,1,1,1,104.8,1,105.03620689655173,0,0,0,1,0
1,0,0,1,62,1,0,1,1,1,0,0,0,0,0,56.15,0,55.364285714285714,1,0,0,0,0
1,0,1,1,13,1,0,1,1,0,0,0,0,0,1,49.95,0,41.96071428571429,0,0,0,0,1
1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,18.95,0,19.223529411764705,0,1,1,0,0
1,0,1,0,58,1,1,1,0,0,1,0,1,1,0,100.35,0,96.28983050847458,1,0,1,0,0
1,0,0,0,49,1,1,1,0,1,1,0,1,1,1,103.7,1,100.726,0,0,0,0,0
1,0,0,0,25,1,0,1,1,0,1,1,1,1,1,105.5,0,103.3096153846154,0,0,0,1,0
0,0,1,1,69,1,1,1,1,1,1,1,1,1,0,113.25,0,112.78785714285713,0,1,1,0,0
0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,20.65,0,19.300943396226415,1,0,0,0,1
1,0,0,1,71,1,1,1,1,0,1,0,1,1,0,106.7,0,102.53125,0,1,0,0,0
0,0,1,1,10,1,0,1,0,0,1,1,0,0,0,55.2,1,48.03181818181818,0,0,1,0,0
0,0,0,0,21,1,0,1,0,1,1,0,0,1,1,90.05,0,84.67727272727274,0,0,0,1,0
1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,39.65,1,19.825,0,0,0,1,0
1,0,1,0,12,1,0,0,0,0,0,0,0,0,0,19.8,0,15.557692307692308,1,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,1,10.075,0,0,0,0,1
0,0,1,0,58,1,1,1,0,1,0,1,0,0,1,59.9,0,59.40847457627118,0,1,1,0,0
1,0,1,1,49,1,0,1,1,1,0,1,0,0,0,59.6,0,59.406000000000006,0,0,1,0,0
0,0,0,0,30,1,0,1,1,1,0,0,0,0,1,55.3,0,49.37419354838709,0,0,0,0,0
1,0,1,1,47,1,1,1,0,1,0,0,1,1,1,99.35,1,98.940625,0,0,0,1,0
1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,30.2,1,15.1,0,0,0,1,0
1,0,1,0,72,1,1,1,1,1,1,1,1,1,1,90.25,0,87.2527397260274,0,1,1,0,0
0,0,0,1,17,1,0,1,0,0,0,0,1,1,1,64.7,1,60.727777777777774,0,0,0,0,1
0,1,1,0,71,1,1,1,1,1,1,1,0,0,1,96.35,0,93.98541666666667,0,1,1,0,0
1,1,1,0,2,1,0,1,0,0,1,0,1,1,1,95.5,0,60.550000000000004,0,0,1,0,0
0,0,1,1,27,1,0,1,1,1,1,1,0,0,0,66.15,0,66.94464285714285,1,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,0,10.1,0,0,0,0,0
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,45.25,0,22.625,0,0,0,0,0
0,0,1,1,72,1,1,1,1,1,0,1,1,0,0,99.9,0,99.33835616438355,0,1,0,0,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,1,69.7,1,52.81666666666666,0,0,0,1,0
0,0,0,0,46,1,0,1,0,0,1,0,0,0,1,74.8,0,75.49574468085106,0,0,1,0,0
1,0,0,0,34,1,1,1,0,1,1,0,1,1,1,106.35,1,101.40714285714286,0,0,0,1,0
0,0,0,0,11,1,1,1,0,0,1,0,1,1,1,97.85,1,92.11666666666667,0,0,0,0,0
1,0,1,1,10,1,0,1,0,1,0,0,0,0,0,49.55,0,43.24545454545454,1,0,0,0,1
0,0,1,1,70,1,1,1,1,1,0,0,1,0,1,69.2,0,68.62464788732395,0,1,1,0,0
0,0,1,1,17,1,0,0,0,0,0,0,0,0,0,20.75,0,23.23611111111111,1,0,0,0,1
0,0,0,0,63,1,1,1,1,1,1,1,1,0,1,79.85,0,75.96015625,0,1,1,0,0
